,Unnamed: 0,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
0,0,1.0,1.0,0.2711736617240512,0.125,0.0,0.014151057562208,1.0,0.0
1,1,0.0,0.0,0.4722292033174164,0.125,0.0,0.1391357353826406,0.0,1.0
2,2,1.0,0.0,0.3214375471223925,0.0,0.0,0.0154685698179998,1.0,1.0
3,3,0.0,0.0,0.4345312892686604,0.125,0.0,0.1036442974556203,1.0,1.0
4,4,1.0,1.0,0.4345312892686604,0.0,0.0,0.0157125535690723,1.0,0.0
5,5,1.0,1.0,0.3465694898215631,0.0,0.0,0.0165095020935757,0.5,0.0
6,6,0.0,1.0,0.6732847449107816,0.0,0.0,0.101228858320002,1.0,0.0
7,7,1.0,1.0,0.0198542347323448,0.375,0.1666666666666666,0.0411356604308323,1.0,0.0
8,8,1.0,0.0,0.3340035184719778,0.0,0.3333333333333333,0.0217307543665283,1.0,1.0
9,9,0.5,0.0,0.1706458909273686,0.125,0.0,0.0586942926540201,0.0,1.0
10,10,1.0,0.0,0.0449861774315154,0.125,0.1666666666666666,0.032596229143293,1.0,1.0
11,11,0.0,0.0,0.723548630309123,0.0,0.0,0.0518221487278101,1.0,1.0
12,12,1.0,1.0,0.2460417190248806,0.0,0.0,0.0157125535690723,1.0,0.0
13,13,1.0,1.0,0.4847951746670017,0.125,0.8333333333333333,0.0610447345183526,1.0,0.0
14,14,1.0,0.0,0.1706458909273686,0.0,0.0,0.0153303774213923,1.0,0.0
15,15,0.5,0.0,0.685850716260367,0.0,0.0,0.0312299201372867,1.0,1.0
16,16,1.0,1.0,0.0198542347323448,0.5,0.1666666666666666,0.0568482139999047,0.5,0.0
17,17,0.5,1.0,0.3465694898215631,0.0,0.0,0.0253743101115454,1.0,1.0
18,18,1.0,0.0,0.3842674038703191,0.125,0.0,0.0351336601544475,1.0,0.0
19,19,1.0,0.0,0.3465694898215631,0.0,0.0,0.0141022608119935,0.0,1.0
20,20,0.5,1.0,0.4345312892686604,0.0,0.0,0.0507486202230909,1.0,0.0
21,21,0.5,1.0,0.4219653179190751,0.0,0.0,0.0253743101115454,1.0,1.0
22,22,1.0,0.0,0.183211862276954,0.0,0.0,0.0156719546728939,0.5,1.0
23,23,0.0,1.0,0.3465694898215631,0.0,0.0,0.0692913853046049,1.0,1.0
24,24,1.0,0.0,0.0952500628298567,0.375,0.1666666666666666,0.0411356604308323,1.0,0.0
25,25,1.0,0.0,0.4722292033174164,0.125,0.8333333333333333,0.0612643198943179,1.0,1.0
26,26,1.0,1.0,0.3465694898215631,0.0,0.0,0.0141022608119935,0.0,0.0
27,27,0.0,1.0,0.2334757476752953,0.375,0.3333333333333333,0.5133418122566507,1.0,0.0
28,28,1.0,0.0,0.3465694898215631,0.0,0.0,0.0153791741716068,0.5,1.0
29,29,1.0,1.0,0.3465694898215631,0.0,0.0,0.0154115752137492,1.0,0.0
30,30,0.0,1.0,0.497361146016587,0.0,0.0,0.0541073981338561,0.0,0.0
31,31,0.0,0.0,0.3465694898215631,0.125,0.0,0.2859895551532101,0.0,1.0
32,32,1.0,0.0,0.3465694898215631,0.0,0.0,0.0151269925664982,0.5,1.0
33,33,0.5,1.0,0.8240764011058055,0.0,0.0,0.0204946350900944,1.0,0.0
34,34,0.0,1.0,0.3465694898215631,0.125,0.0,0.16038672010106,0.0,0.0
35,35,0.0,1.0,0.5224930887157577,0.125,0.0,0.1014972404461818,1.0,0.0
36,36,1.0,1.0,0.3465694898215631,0.0,0.0,0.0141104586660295,0.0,1.0
37,37,1.0,1.0,0.2586076903744659,0.0,0.0,0.0157125535690723,1.0,0.0
38,38,1.0,0.0,0.22090977632571,0.25,0.0,0.0351336601544475,1.0,0.0
39,39,1.0,0.0,0.1706458909273686,0.125,0.0,0.0219423370754585,0.0,1.0
40,40,1.0,0.0,0.497361146016587,0.125,0.0,0.0184939683312994,1.0,0.0
41,41,0.5,0.0,0.3340035184719778,0.125,0.0,0.0409892701801888,1.0,0.0
42,42,1.0,1.0,0.3465694898215631,0.0,0.0,0.0154115752137492,0.0,0.0
43,43,0.5,0.0,0.0324202060819301,0.125,0.3333333333333333,0.081157193460767,0.0,1.0
44,44,1.0,0.0,0.2334757476752953,0.0,0.0,0.0153791741716068,0.5,1.0
45,45,1.0,1.0,0.3465694898215631,0.0,0.0,0.0157125535690723,1.0,0.0
46,46,1.0,1.0,0.3465694898215631,0.125,0.0,0.0302539851329965,0.5,0.0
47,47,1.0,0.0,0.3465694898215631,0.0,0.0,0.0151269925664982,0.5,1.0
48,48,1.0,1.0,0.3465694898215631,0.25,0.0,0.0423149802900166,0.0,0.0
49,49,1.0,0.0,0.22090977632571,0.125,0.0,0.0347432861527314,1.0,0.0
50,50,1.0,1.0,0.0826840914802714,0.5,0.1666666666666666,0.0774648409655354,1.0,0.0
51,51,1.0,1.0,0.2586076903744659,0.0,0.0,0.0152245860669272,1.0,0.0
52,52,0.0,0.0,0.610454888162855,0.125,0.0,0.1497654242623688,0.0,1.0
53,53,0.5,0.0,0.3591354611711485,0.125,0.0,0.0507486202230909,1.0,1.0
54,54,0.0,1.0,0.8115104297562202,0.0,0.1666666666666666,0.1209753416358076,0.0,0.0
55,55,0.0,1.0,0.3465694898215631,0.0,0.0,0.0692913853046049,1.0,1.0
56,56,0.5,0.0,0.2586076903744659,0.0,0.0,0.0204946350900944,1.0,1.0
57,57,1.0,1.0,0.3528524754963558,0.0,0.0,0.0141104586660295,0.0,0.0
58,58,0.5,0.0,0.0575521487811007,0.125,0.3333333333333333,0.0541643927381066,1.0,1.0
59,59,1.0,1.0,0.1329479768786127,0.625,0.3333333333333333,0.0915427034024217,1.0,0.0
60,60,1.0,1.0,0.2711736617240512,0.0,0.0,0.0141104586660295,0.0,0.0
61,61,0.0,1.0,0.5601910027645137,0.125,0.0,0.1629323489662505,1.0,0.0
62,62,1.0,1.0,0.0449861774315154,0.375,0.3333333333333333,0.0544571732393937,1.0,0.0
63,63,0.0,1.0,0.3465694898215631,0.0,0.0,0.0541073981338561,0.0,0.0
64,64,1.0,1.0,0.3465694898215631,0.125,0.1666666666666666,0.0297578197768153,0.0,1.0
65,65,0.5,0.0,0.3591354611711485,0.0,0.0,0.0204946350900944,1.0,1.0
66,66,1.0,1.0,0.2334757476752953,0.0,0.0,0.0159239410910016,1.0,0.0
67,67,1.0,0.0,0.2083438049761246,0.5,0.3333333333333333,0.0154685698179998,1.0,1.0
68,68,1.0,1.0,0.3214375471223925,0.25,0.0,0.0169080739493278,1.0,0.0
69,69,0.5,1.0,0.3968333752199044,0.0,0.0,0.0204946350900944,1.0,0.0
70,70,1.0,0.0,0.1957778336265393,0.625,0.3333333333333333,0.0915427034024217,1.0,0.0
71,71,0.5,1.0,0.2586076903744659,0.0,0.0,0.1434624456306609,1.0,0.0
72,72,1.0,1.0,0.3214375471223925,0.125,0.0,0.0282127194780231,0.0,0.0
73,73,1.0,1.0,0.3968333752199044,0.0,0.0,0.1102724576307577,1.0,1.0
74,74,1.0,1.0,0.3088715757728072,0.0,0.0,0.0149318055656402,1.0,0.0
75,75,1.0,1.0,0.3465694898215631,0.0,0.0,0.0154115752137492,1.0,0.0
76,76,1.0,1.0,0.3465694898215631,0.0,0.0,0.0157125535690723,1.0,0.0
